productId,name,slug,manufacturer,productType,mrpDecimal,salePriceDecimal,discountDecimal,discountPercent,categoryId,damImages,labelDetails,ratingDetails,listingId,productTierAttributes,productSubstitutionAttributes,productAvailabilityFlags,maxQuantity,productVolume,similarProductsAttributes,isAvailable,images
3808344,Grazing Meadows Asthishrunkala Powder - 1 Kg Pack (pack Of 5),grazing-meadows-asthishrunkala-powder---1-kg-pack-pack-of-5--3808344,GRAZING MEADOWS,2,6575.00,6575.00,,0,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Q39238/grazing-meadows-asthishrunkala-powder-1-kg-pack-pack-of-5-2-1665841198.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Q39238/grazing-meadows-asthishrunkala-powder-1-kg-pack-pack-of-5-7-1665842614.jpg', 'face': 'back', 'sequence': '7'}]",,,7972632,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/Q39238/grazing-meadows-asthishrunkala-powder-1-kg-pack-pack-of-5-2-1665841198.jpg?dim=300x0&f=jpg&dpr=3&q=60']
3808590,Ved Tattva Arthroplus Joint Care Oil | Herbal Joint Health Oil - 100ml Oil (pack Of 5),ved-tattva-arthroplus-joint-care-oil-herbal-joint-health-oil---100ml-oil-pack-of-5--3808590,VED TATTVA,2,2800.00,1960.00,840.00,30,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Q41044/ved-tattva-arthroplus-joint-care-oil-herbal-joint-health-oil-100ml-oil-pack-of-5-2-1665645926.jpg', 'face': 'front', 'sequence': '2'}]",,,7993181,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/Q41044/ved-tattva-arthroplus-joint-care-oil-herbal-joint-health-oil-100ml-oil-pack-of-5-2-1665645926.jpg?dim=300x0&f=jpg&dpr=3&q=60']
3808403,Grazing Meadows Punarnava - 120 Capsules (pack Of 5),grazing-meadows-punarnava---120-capsules-pack-of-5--3808403,GRAZING MEADOWS,2,2350.00,2350.00,,0,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Q73793/grazing-meadows-punarnava-120-capsules-pack-of-5-2-1665842648.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Q73793/grazing-meadows-punarnava-120-capsules-pack-of-5-6.1-1665842325.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Q73793/grazing-meadows-punarnava-120-capsules-pack-of-5-7-1665842644.jpg', 'face': 'back', 'sequence': '7'}]",,,7972633,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/Q73793/grazing-meadows-punarnava-120-capsules-pack-of-5-2-1665842648.jpg?dim=300x0&f=jpg&dpr=3&q=60']
3808421,Herbal Hills Liv-first - Liver Support 60 Tablets - Pack Of 5,herbal-hills-liv-first---liver-support-60-tablets---pack-of-5-3808421,HERBAL HILLS,2,1625.00,1543.75,81.25,5,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/W64483/herbal-hills-liv-first-liver-support-60-tablets-pack-of-5-2-1665828284.jpg', 'face': 'front', 'sequence': '2'}]",,,7972513,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/W64483/herbal-hills-liv-first-liver-support-60-tablets-pack-of-5-2-1665828284.jpg?dim=300x0&f=jpg&dpr=3&q=60']
3808940,Grazing Meadows Tulsi Ark 30ml | Panch Tulsi Ark Drops,grazing-meadows-tulsi-ark-30ml-panch-tulsi-ark-drops-3808940,GRAZING MEADOWS,2,345.00,345.00,,0,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Y19571/grazing-meadows-tulsi-ark-30ml-panch-tulsi-ark-drops-2-1665827415.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Y19571/grazing-meadows-tulsi-ark-30ml-panch-tulsi-ark-drops-6.1-1665827697.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Y19571/grazing-meadows-tulsi-ark-30ml-panch-tulsi-ark-drops-6.2-1665827694.jpg', 'face': 'side', 'sequence': '6.2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Y19571/grazing-meadows-tulsi-ark-30ml-panch-tulsi-ark-drops-7-1665827729.jpg', 'face': 'back', 'sequence': '7'}]",,,7972627,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/Y19571/grazing-meadows-tulsi-ark-30ml-panch-tulsi-ark-drops-2-1665827415.jpg?dim=300x0&f=jpg&dpr=3&q=60']
3808939,Grazing Meadows Occuplus 30 Capsule Ayurvedic Herbal Formulation For Eye Health,grazing-meadows-occuplus-30-capsule-ayurvedic-herbal-formulation-for-eye-health-3808939,GRAZING MEADOWS,2,530.00,530.00,,0,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Y80338/grazing-meadows-occuplus-30-capsule-ayurvedic-herbal-formulation-for-eye-health-2-1665827717.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Y80338/grazing-meadows-occuplus-30-capsule-ayurvedic-herbal-formulation-for-eye-health-6.1-1665827296.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Y80338/grazing-meadows-occuplus-30-capsule-ayurvedic-herbal-formulation-for-eye-health-6.2-1665827718.jpg', 'face': 'side', 'sequence': '6.2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Y80338/grazing-meadows-occuplus-30-capsule-ayurvedic-herbal-formulation-for-eye-health-6.3-1665827687.jpg', 'face': 'side', 'sequence': '6.3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Y80338/grazing-meadows-occuplus-30-capsule-ayurvedic-herbal-formulation-for-eye-health-7-1665827426.jpg', 'face': 'back', 'sequence': '7'}]",,,7972370,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/Y80338/grazing-meadows-occuplus-30-capsule-ayurvedic-herbal-formulation-for-eye-health-2-1665827717.jpg?dim=300x0&f=jpg&dpr=3&q=60']
3825216,Hanacare Omega 3 Softgel Capsules,omega-3-softgel-capsules-3825216,HANACARE,2,550.00,550.00,,0,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Z74945/omega-3-softgel-capsules-2-1669696520.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Z74945/omega-3-softgel-capsules-6.01-1669697028.jpg', 'face': 'side', 'sequence': '6.01'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Z74945/omega-3-softgel-capsules-6.02-1669697039.jpg', 'face': 'side', 'sequence': '6.02'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Z74945/omega-3-softgel-capsules-6.03-1669696684.jpg', 'face': 'side', 'sequence': '6.03'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/Z74945/omega-3-softgel-capsules-7-1669696531.jpg', 'face': 'back', 'sequence': '7'}]",,,7941304,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/Z74945/omega-3-softgel-capsules-2-1669696520.jpg?dim=300x0&f=jpg&dpr=3&q=60']
3808346,Grazing Meadows Ashwagandha Capsules - 700 Capsules (pack Of 5),grazing-meadows-ashwagandha-capsules---700-capsules-pack-of-5--3808346,GRAZING MEADOWS,2,14970.00,14970.00,,0,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/A47673/grazing-meadows-ashwagandha-capsules-700-capsules-pack-of-5-2-1665839917.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/A47673/grazing-meadows-ashwagandha-capsules-700-capsules-pack-of-5-6.1-1665841038.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/A47673/grazing-meadows-ashwagandha-capsules-700-capsules-pack-of-5-7-1665841176.jpg', 'face': 'back', 'sequence': '7'}]",,,7972647,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/A47673/grazing-meadows-ashwagandha-capsules-700-capsules-pack-of-5-2-1665839917.jpg?dim=300x0&f=jpg&dpr=3&q=60']
3808626,Ved Tattva Gokshur Powder - 1 Kg (pack Of 5),ved-tattva-gokshur-powder---1-kg-pack-of-5--3808626,VED TATTVA,2,7200.00,2448.00,4752.00,66,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/C32799/ved-tattva-gokshur-powder-1-kg-pack-of-5-2-1665649093.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/C32799/ved-tattva-gokshur-powder-1-kg-pack-of-5-6.1-1665647893.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/C32799/ved-tattva-gokshur-powder-1-kg-pack-of-5-7-1665649091.jpg', 'face': 'back', 'sequence': '7'}]",,,8004126,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/C32799/ved-tattva-gokshur-powder-1-kg-pack-of-5-2-1665649093.jpg?dim=300x0&f=jpg&dpr=3&q=60']
3808321,Herbal Hills Ashwagandhahills - Ashwagandha Capsule 120 Count - Pack Of 5,herbal-hills-ashwagandhahills---ashwagandha-capsule-120-count---pack-of-5-3808321,HERBAL HILLS,2,1975.00,1777.50,197.50,10,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/E57706/herbal-hills-ashwagandhahills-ashwagandha-capsule-120-count-pack-of-5-2-1665841757.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/E57706/herbal-hills-ashwagandhahills-ashwagandha-capsule-120-count-pack-of-5-6.3-1665839362.jpg', 'face': 'side', 'sequence': '6.3'}]",,,7972559,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/E57706/herbal-hills-ashwagandhahills-ashwagandha-capsule-120-count-pack-of-5-2-1665841757.jpg?dim=300x0&f=jpg&dpr=3&q=60']
